month,business_unit,line_item,actual,budget,variance_eur,variance_pct,direction,suspected_data_error,materiality,evidence_notes,analyst_comment
2024-01,Brand Events,COGS,1404772.63,1443750.0,-38977.37,-0.026997,F,False,,,
2024-02,Brand Events,COGS,1628131.33,1655401.67,-27270.34,-0.016474,F,False,,,
2024-03,Brand Events,COGS,1846376.84,1868423.65,-22046.81,-0.0118,F,False,,,
2024-04,Brand Events,COGS,2426839.94,2395246.05,31593.89,0.01319,U,False,,,
2024-05,Brand Events,COGS,2711897.52,2612051.59,99845.93,0.038225,U,False,,,
2024-06,Brand Events,COGS,2645676.93,2515778.65,129898.28,0.051633,U,False,,,
2024-07,Brand Events,COGS,1744402.61,1787843.72,-43441.11,-0.024298,F,False,,,
2024-08,Brand Events,COGS,1285109.13,1266138.81,18970.32,0.014983,U,False,,,
2024-09,Brand Events,COGS,2102228.69,2011282.72,90945.97,0.045218,U,False,,,
2024-10,Brand Events,COGS,2698234.29,2548884.8,149349.49,0.058594,U,False,,,
2024-11,Brand Events,COGS,2476054.9,2770331.62,-294276.72,-0.106224,F,False,single,,"November events were delivered with in-house crew and staging stock instead of the subcontracting assumed in budget; Q4 freight was also renegotiated. Genuine savings, not a timing shift. (FP&A Analyst, 2024-12-10)"
2024-12,Brand Events,COGS,2429760.57,2351800.82,77959.75,0.033149,U,False,,,
2025-01,Brand Events,COGS,1439221.14,1501500.0,-62278.86,-0.041478,F,False,,,
2025-02,Brand Events,COGS,1684133.25,1721617.74,-37484.49,-0.021773,F,False,,,
2025-03,Brand Events,COGS,1910215.43,1943160.6,-32945.17,-0.016954,F,False,,,
2025-04,Brand Events,COGS,3201900.44,2491055.89,710844.55,0.285359,U,False,episode,"N11, N13",
2025-05,Brand Events,COGS,3352548.96,2716533.65,636015.31,0.234128,U,False,episode,"N11, N13",
2025-06,Brand Events,COGS,3347005.81,2616409.8,730596.01,0.279236,U,False,episode,"N11, N13",
2025-07,Brand Events,COGS,1900515.42,1859357.47,41157.95,0.022136,U,False,,,
2025-08,Brand Events,COGS,1225544.78,1316784.37,-91239.59,-0.06929,F,False,,,
2025-09,Brand Events,COGS,2050566.19,2091734.03,-41167.84,-0.019681,F,False,,,
2025-10,Brand Events,COGS,2744413.54,2650840.19,93573.35,0.0353,U,False,,,
2025-11,Brand Events,COGS,3076595.71,2881144.88,195450.83,0.067838,U,False,,,
2025-12,Brand Events,COGS,2557869.96,2445872.85,111997.11,0.04579,U,False,,,
2026-01,Brand Events,COGS,1546803.84,1561560.0,-14756.16,-0.00945,F,False,,,
2026-02,Brand Events,COGS,1920002.56,1790482.45,129520.11,0.072338,U,False,,,
2026-03,Brand Events,COGS,2066955.12,2020887.02,46068.1,0.022796,U,False,,,
2026-04,Brand Events,COGS,2997915.25,2590698.13,407217.12,0.157184,U,False,single,,"An unplanned client project was won in late March and delivered inside April; external production was booked at short-notice premium rates. Together with the matching revenue line the net margin impact is slightly negative. Change-order discipline flagged to the project director. (FP&A Analyst, 2026-05-12)"
2026-05,Brand Events,COGS,2870043.31,2825195.0,44848.31,0.015874,U,False,,,
2026-06,Brand Events,COGS,2578345.41,2721066.19,-142720.78,-0.05245,F,False,,,
2024-01,Brand Events,Opex - Facilities,8030.68,8000.0,30.68,0.003835,U,False,,,
2024-02,Brand Events,Opex - Facilities,8280.88,8010.0,270.88,0.033818,U,False,,,
2024-03,Brand Events,Opex - Facilities,7975.52,8020.0,-44.48,-0.005546,F,False,,,
2024-04,Brand Events,Opex - Facilities,8118.04,8030.0,88.04,0.010964,U,False,,,
2024-05,Brand Events,Opex - Facilities,8188.57,8040.0,148.57,0.018479,U,False,,,
2024-06,Brand Events,Opex - Facilities,8181.17,8050.0,131.17,0.016294,U,False,,,
2024-07,Brand Events,Opex - Facilities,8224.16,8060.0,164.16,0.020367,U,False,,,
2024-08,Brand Events,Opex - Facilities,7915.33,8070.0,-154.67,-0.019166,F,False,,,
2024-09,Brand Events,Opex - Facilities,8119.45,8080.0,39.45,0.004882,U,False,,,
2024-10,Brand Events,Opex - Facilities,8043.57,8090.0,-46.43,-0.005739,F,False,,,
2024-11,Brand Events,Opex - Facilities,7996.18,8100.0,-103.82,-0.012817,F,False,,,
2024-12,Brand Events,Opex - Facilities,8017.12,8110.0,-92.88,-0.011453,F,False,,,
2025-01,Brand Events,Opex - Facilities,8282.09,8120.0,162.09,0.019962,U,False,,,
2025-02,Brand Events,Opex - Facilities,7886.77,8130.0,-243.23,-0.029918,F,False,,,
2025-03,Brand Events,Opex - Facilities,7912.01,8140.0,-227.99,-0.028009,F,False,,,
2025-04,Brand Events,Opex - Facilities,8208.13,8150.0,58.13,0.007133,U,False,,,
2025-05,Brand Events,Opex - Facilities,8552.12,8160.0,392.12,0.048054,U,False,,,
2025-06,Brand Events,Opex - Facilities,8257.47,8170.0,87.47,0.010706,U,False,,,
2025-07,Brand Events,Opex - Facilities,8335.87,8180.0,155.87,0.019055,U,False,,,
2025-08,Brand Events,Opex - Facilities,8905.94,8190.0,715.94,0.087416,U,False,,,
2025-09,Brand Events,Opex - Facilities,8049.42,8200.0,-150.58,-0.018363,F,False,,,
2025-10,Brand Events,Opex - Facilities,8090.22,8210.0,-119.78,-0.01459,F,False,,,
2025-11,Brand Events,Opex - Facilities,7982.0,8220.0,-238.0,-0.028954,F,False,,,
2025-12,Brand Events,Opex - Facilities,8325.04,8230.0,95.04,0.011548,U,False,,,
2026-01,Brand Events,Opex - Facilities,7924.09,8240.0,-315.91,-0.038339,F,False,,,
2026-02,Brand Events,Opex - Facilities,8304.3,8250.0,54.3,0.006582,U,False,,,
2026-03,Brand Events,Opex - Facilities,7920.97,8260.0,-339.03,-0.041045,F,False,,,
2026-04,Brand Events,Opex - Facilities,8048.02,8270.0,-221.98,-0.026842,F,False,,,
